법정동코드,버스총승객,출근버스승객,퇴근버스승객,법정동명,Si,Gu,Dong
11110101.0,2593738.0,409942.0,442953.0,서울특별시 종로구 청운동,서울특별시,종로구,청운동
11110102.0,2593738.0,409942.0,442953.0,서울특별시 종로구 신교동,서울특별시,종로구,신교동
11110103.0,2593738.0,409942.0,442953.0,서울특별시 종로구 궁정동,서울특별시,종로구,궁정동
11110104.0,2593738.0,409942.0,442953.0,서울특별시 종로구 효자동,서울특별시,종로구,효자동
11110105.0,2593738.0,409942.0,442953.0,서울특별시 종로구 창성동,서울특별시,종로구,창성동
11110106.0,8978945.0,1170313.0,2133994.0,서울특별시 종로구 통의동,서울특별시,종로구,통의동
11110107.0,8978945.0,1170313.0,2133994.0,서울특별시 종로구 적선동,서울특별시,종로구,적선동
11110108.0,2593738.0,409942.0,442953.0,서울특별시 종로구 통인동,서울특별시,종로구,통인동
11110109.0,2593738.0,409942.0,442953.0,서울특별시 종로구 누상동,서울특별시,종로구,누상동
11110110.0,2593738.0,409942.0,442953.0,서울특별시 종로구 누하동,서울특별시,종로구,누하동
11110111.0,2593738.0,409942.0,442953.0,서울특별시 종로구 옥인동,서울특별시,종로구,옥인동
11110112.0,8978945.0,1170313.0,2133994.0,서울특별시 종로구 체부동,서울특별시,종로구,체부동
11110113.0,8978945.0,1170313.0,2133994.0,서울특별시 종로구 필운동,서울특별시,종로구,필운동
11110114.0,8978945.0,1170313.0,2133994.0,서울특별시 종로구 내자동,서울특별시,종로구,내자동
11110115.0,8978945.0,1170313.0,2133994.0,서울특별시 종로구 사직동,서울특별시,종로구,사직동
11110116.0,8978945.0,1170313.0,2133994.0,서울특별시 종로구 도렴동,서울특별시,종로구,도렴동
11110117.0,8978945.0,1170313.0,2133994.0,서울특별시 종로구 당주동,서울특별시,종로구,당주동
11110118.0,8978945.0,1170313.0,2133994.0,서울특별시 종로구 내수동,서울특별시,종로구,내수동
11110119.0,11572683.0,1580255.0,2576947.0,서울특별시 종로구 세종로,서울특별시,종로구,세종로
11110120.0,8978945.0,1170313.0,2133994.0,서울특별시 종로구 신문로1가,서울특별시,종로구,신문로1가
11110121.0,8978945.0,1170313.0,2133994.0,서울특별시 종로구 신문로2가,서울특별시,종로구,신문로2가
11110130.0,5546728.0,872816.0,999530.0,서울특별시 종로구 와룡동,서울특별시,종로구,와룡동
11110139.0,1547281.0,135016.0,386196.0,서울특별시 종로구 팔판동,서울특별시,종로구,팔판동
11110140.0,1547281.0,135016.0,386196.0,서울특별시 종로구 삼청동,서울특별시,종로구,삼청동
11110141.0,1547281.0,135016.0,386196.0,서울특별시 종로구 안국동,서울특별시,종로구,안국동
11110142.0,1547281.0,135016.0,386196.0,서울특별시 종로구 소격동,서울특별시,종로구,소격동
11110143.0,1547281.0,135016.0,386196.0,서울특별시 종로구 화동,서울특별시,종로구,화동
11110144.0,1547281.0,135016.0,386196.0,서울특별시 종로구 사간동,서울특별시,종로구,사간동
11110145.0,1547281.0,135016.0,386196.0,서울특별시 종로구 송현동,서울특별시,종로구,송현동
11110146.0,711119.0,160457.0,105386.0,서울특별시 종로구 가회동,서울특별시,종로구,가회동
11110147.0,711119.0,160457.0,105386.0,서울특별시 종로구 재동,서울특별시,종로구,재동
11110148.0,711119.0,160457.0,105386.0,서울특별시 종로구 계동,서울특별시,종로구,계동
11110149.0,711119.0,160457.0,105386.0,서울특별시 종로구 원서동,서울특별시,종로구,원서동
11110165.0,4747905.0,767069.0,870633.0,서울특별시 종로구 이화동,서울특별시,종로구,이화동
11110166.0,4747905.0,767069.0,870633.0,서울특별시 종로구 연건동,서울특별시,종로구,연건동
11110168.0,4747905.0,767069.0,870633.0,서울특별시 종로구 동숭동,서울특별시,종로구,동숭동
11110169.0,5546728.0,872816.0,999530.0,서울특별시 종로구 혜화동,서울특별시,종로구,혜화동
11110170.0,5546728.0,872816.0,999530.0,서울특별시 종로구 명륜1가,서울특별시,종로구,명륜1가
11110171.0,5546728.0,872816.0,999530.0,서울특별시 종로구 명륜2가,서울특별시,종로구,명륜2가
11110172.0,5546728.0,872816.0,999530.0,서울특별시 종로구 명륜4가,서울특별시,종로구,명륜4가
11110173.0,5546728.0,872816.0,999530.0,서울특별시 종로구 명륜3가,서울특별시,종로구,명륜3가
11110176.0,3399375.0,528506.0,676264.0,서울특별시 종로구 교남동,서울특별시,종로구,교남동
11110177.0,3399375.0,528506.0,676264.0,서울특별시 종로구 평동,서울특별시,종로구,평동
11110178.0,3399375.0,528506.0,676264.0,서울특별시 종로구 송월동,서울특별시,종로구,송월동
11110179.0,3399375.0,528506.0,676264.0,서울특별시 종로구 홍파동,서울특별시,종로구,홍파동
11110180.0,3399375.0,528506.0,676264.0,서울특별시 종로구 교북동,서울특별시,종로구,교북동
11110181.0,3399375.0,528506.0,676264.0,서울특별시 종로구 행촌동,서울특별시,종로구,행촌동
11110182.0,2973049.0,614499.0,427028.0,서울특별시 종로구 구기동,서울특별시,종로구,구기동
11110183.0,2973049.0,614499.0,427028.0,서울특별시 종로구 평창동,서울특별시,종로구,평창동
11110184.0,3326304.0,577620.0,551685.0,서울특별시 종로구 부암동,서울특별시,종로구,부암동
11110185.0,3326304.0,577620.0,551685.0,서울특별시 종로구 홍지동,서울특별시,종로구,홍지동
11110186.0,3326304.0,577620.0,551685.0,서울특별시 종로구 신영동,서울특별시,종로구,신영동
11110187.0,715723.0,80240.0,150824.0,서울특별시 종로구 무악동,서울특별시,종로구,무악동
11140101.0,7236979.0,1095684.0,1644400.0,서울특별시 중구 무교동,서울특별시,중구,무교동
11140102.0,7236979.0,1095684.0,1644400.0,서울특별시 중구 다동,서울특별시,중구,다동
11140103.0,7236979.0,1095684.0,1644400.0,서울특별시 중구 태평로1가,서울특별시,중구,태평로1가
11140104.0,7236979.0,1095684.0,1644400.0,서울특별시 중구 을지로1가,서울특별시,중구,을지로1가
11140105.0,7236979.0,1095684.0,1644400.0,서울특별시 중구 을지로2가,서울특별시,중구,을지로2가
11140106.0,7236979.0,1095684.0,1644400.0,서울특별시 중구 남대문로1가,서울특별시,중구,남대문로1가
11140107.0,7236979.0,1095684.0,1644400.0,서울특별시 중구 삼각동,서울특별시,중구,삼각동
11140108.0,7236979.0,1095684.0,1644400.0,서울특별시 중구 수하동,서울특별시,중구,수하동
11140109.0,7236979.0,1095684.0,1644400.0,서울특별시 중구 장교동,서울특별시,중구,장교동
11140110.0,7236979.0,1095684.0,1644400.0,서울특별시 중구 수표동,서울특별시,중구,수표동
11140111.0,10028576.0,781184.0,2835999.0,서울특별시 중구 소공동,서울특별시,중구,소공동
11140112.0,10233314.0,1377062.0,2070885.0,서울특별시 중구 남창동,서울특별시,중구,남창동
11140113.0,10028576.0,781184.0,2835999.0,서울특별시 중구 북창동,서울특별시,중구,북창동
11140114.0,10028576.0,781184.0,2835999.0,서울특별시 중구 태평로2가,서울특별시,중구,태평로2가
11140115.0,17265555.0,1876868.0,4480399.0,서울특별시 중구 남대문로2가,서울특별시,중구,남대문로2가
11140116.0,20261890.0,2158246.0,4906884.0,서울특별시 중구 남대문로3가,서울특별시,중구,남대문로3가
11140117.0,20261890.0,2158246.0,4906884.0,서울특별시 중구 남대문로4가,서울특별시,중구,남대문로4가
11140118.0,10233314.0,1377062.0,2070885.0,서울특별시 중구 남대문로5가,서울특별시,중구,남대문로5가
11140119.0,20261890.0,2158246.0,4906884.0,서울특별시 중구 봉래동1가,서울특별시,중구,봉래동1가
11140120.0,10233314.0,1377062.0,2070885.0,서울특별시 중구 봉래동2가,서울특별시,중구,봉래동2가
11140121.0,17470293.0,2472746.0,3715285.0,서울특별시 중구 회현동1가,서울특별시,중구,회현동1가
11140122.0,17470293.0,2472746.0,3715285.0,서울특별시 중구 회현동2가,서울특별시,중구,회현동2가
11140123.0,7236979.0,1095684.0,1644400.0,서울특별시 중구 회현동3가,서울특별시,중구,회현동3가
11140124.0,17470293.0,2472746.0,3715285.0,서울특별시 중구 충무로1가,서울특별시,중구,충무로1가
11140125.0,7236979.0,1095684.0,1644400.0,서울특별시 중구 충무로2가,서울특별시,중구,충무로2가
11140126.0,7236979.0,1095684.0,1644400.0,서울특별시 중구 명동1가,서울특별시,중구,명동1가
11140127.0,7236979.0,1095684.0,1644400.0,서울특별시 중구 명동2가,서울특별시,중구,명동2가
11140128.0,7236979.0,1095684.0,1644400.0,서울특별시 중구 남산동1가,서울특별시,중구,남산동1가
11140129.0,7236979.0,1095684.0,1644400.0,서울특별시 중구 남산동2가,서울특별시,중구,남산동2가
11140130.0,7236979.0,1095684.0,1644400.0,서울특별시 중구 남산동3가,서울특별시,중구,남산동3가
11140131.0,7236979.0,1095684.0,1644400.0,서울특별시 중구 저동1가,서울특별시,중구,저동1가
11140132.0,5524531.0,673377.0,1116842.0,서울특별시 중구 충무로4가,서울특별시,중구,충무로4가
11140133.0,5524531.0,673377.0,1116842.0,서울특별시 중구 충무로5가,서울특별시,중구,충무로5가
11140134.0,4185835.0,473515.0,836047.0,서울특별시 중구 인현동2가,서울특별시,중구,인현동2가
11140135.0,4185835.0,473515.0,836047.0,서울특별시 중구 예관동,서울특별시,중구,예관동
11140136.0,2679784.0,352866.0,593157.0,서울특별시 중구 묵정동,서울특별시,중구,묵정동
11140137.0,1338696.0,199862.0,280795.0,서울특별시 중구 필동1가,서울특별시,중구,필동1가
11140138.0,1338696.0,199862.0,280795.0,서울특별시 중구 필동2가,서울특별시,중구,필동2가
