LT_UNQ_NO,INDUSTRY_CD,STDG_EMD_CD,SLS_GRD_2301,SLS_GRD_2302
1168010800102090000,A01,11680108,2.0,2.0
1135010300106330015,A05,11350103,3.0,3.0
1154510200109830004,A02,11545102,4.0,4.0
1162010200100920362,A01,11620102,4.0,4.0
1168011000104580000,A03,11680110,3.0,3.0
1171010700100190010,A03,11710107,2.0,2.0
1130510300101910002,A12,11305103,3.0,3.0
1135010300104080138,A01,11350103,3.0,3.0
1111016000102580004,A01,11110160,2.0,2.0
1144012000103540019,A01,11440120,2.0,2.0
1132010600104980005,A03,11320106,3.0,3.0
1147010100110260003,A04,11470101,3.0,3.0
1120010700102680000,A13,11200107,1.0,1.0
1138010800100310006,A01,11380108,3.0,3.0
1174010900103400030,A01,11740109,3.0,3.0
1174010200101930004,A03,11740102,3.0,3.0
1141012000103440008,A01,11410120,3.0,3.0
1159010100100410005,A08,11590101,2.0,2.0
1153010200102120001,A03,11530102,3.0,3.0
1126010100100190058,A06,11260101,3.0,3.0
1121510100100890003,A11,11215101,4.0,4.0
1144011000100560011,A02,11440110,2.0,2.0
1150010500107760004,A13,11500105,3.0,3.0
1168010800102210007,A03,11680108,4.0,4.0
1171011100102180024,A01,11710111,3.0,3.0
1171010800106510000,A10,11710108,2.0,2.0
1174010800104170051,A04,11740108,3.0,3.0
1168010100108320033,A02,11680101,2.0,2.0
1168010600108900038,A08,11680106,1.0,1.0
1165010800115360001,A05,11650108,1.0,1.0
1165010700105050000,A03,11650107,1.0,1.0
1153010200104200008,A03,11530102,3.0,3.0
1123010600105800000,A01,11230106,1.0,1.0
1138010200100130001,A01,11380102,4.0,4.0
1150010300109340023,A01,11500103,3.0,3.0
1150010500107380003,A01,11500105,1.0,1.0
1171010800106400007,A01,11710108,2.0,2.0
1120010500107720003,A07,11200105,2.0,2.0
1156012900100390000,A01,11560129,1.0,1.0
1120010800101000000,A07,11200108,1.0,1.0
1144012200103930008,A03,11440122,2.0,2.0
1114013800100760004,A03,11140138,2.0,2.0
1114010500100500000,A08,11140105,2.0,2.0
1130510100103210004,A01,11305101,3.0,3.0
1171010700101990000,A01,11710107,3.0,3.0
1153010600100500046,A01,11530106,3.0,3.0
1132010800106250021,A01,11320108,3.0,3.0
1138010700106950000,A01,11380107,4.0,4.0
1123011000103050076,A01,11230110,3.0,3.0
1114011700100170001,A03,11140117,2.0,2.0
1126010100101260002,A13,11260101,4.0,4.0
1135010600104340019,A02,11350106,4.0,4.0
1171010700101480004,A01,11710107,3.0,3.0
1135010500111200032,A01,11350105,2.0,2.0
1129013000101170000,A13,11290130,3.0,3.0
1171010900108840000,A03,11710109,3.0,3.0
1150010800100520027,A03,11500108,2.0,2.0
1114011800100190001,A13,11140118,1.0,1.0
1129010200101090006,A03,11290102,3.0,3.0
1141011600100180020,A03,11410116,1.0,1.0
1147010100110240026,A03,11470101,3.0,3.0
1168010100106320008,A03,11680101,2.0,2.0
1153010200100800000,A01,11530102,2.0,2.0
1111012800100120002,A01,11110128,2.0,2.0
1165010100107840017,A03,11650101,1.0,1.0
1130510300102200018,A01,11305103,4.0,4.0
1162010200114100015,A01,11620102,3.0,3.0
1165010800115510008,A03,11650108,2.0,2.0
1171010700101600003,A01,11710107,1.0,1.0
1150010200106470036,A01,11500102,3.0,3.0
1117010200100010499,A03,11170102,3.0,3.0
1150010900101980005,A03,11500109,2.0,2.0
1130510200104150067,A01,11305102,4.0,4.0
1165010800113090008,A03,11650108,4.0,4.0
1129011100100180000,A05,11290111,2.0,2.0
1129011200100390000,A07,11290112,2.0,2.0
1156010300100940209,A01,11560103,2.0,2.0
1168010400100830012,A14,11680104,2.0,2.0
1162010200104920009,A03,11620102,3.0,3.0
1144012300103800002,A03,11440123,2.0,2.0
1138010400104830003,A14,11380104,3.0,3.0
1123010100100930019,A01,11230101,3.0,3.0
1138010400105480000,A01,11380104,4.0,4.0
1147010300109410003,A13,11470103,4.0,4.0
1174010900102910053,A03,11740109,4.0,4.0
1150010300109810001,A01,11500103,2.0,2.0
1129013300101070033,A01,11290133,3.0,3.0
1147010100112670000,A03,11470101,2.0,2.0
1120011400106560365,A07,11200114,2.0,2.0
1144012500102790017,A03,11440125,1.0,1.0
1156012800100310003,A11,11560128,1.0,1.0
1141011700101870059,A01,11410117,3.0,3.0
1130510100103100001,A08,11305101,2.0,2.0
1156013200103620022,A04,11560132,3.0,3.0
1135010500110080019,A03,11350105,3.0,3.0
1153010200107700044,A04,11530102,3.0,3.0
1147010300100540010,A02,11470103,2.0,2.0
1174010800100110010,A03,11740108,1.0,1.0
1138010900100090016,A01,11380109,3.0,3.0
1156010400100230011,A01,11560104,2.0,2.0
1168010500100010004,A01,11680105,2.0,2.0
1144011500103230003,A01,11440115,4.0,4.0
1123010200100520018,A01,11230102,1.0,1.0
1165010800113210009,A11,11650108,2.0,2.0
1129013900101310011,A03,11290139,3.0,3.0
1168010100108300021,A11,11680101,1.0,1.0
1147010300101590059,A01,11470103,3.0,3.0
1168010500100010004,A03,11680105,3.0,3.0
1114010800100660000,A13,11140108,1.0,1.0
1114016600100540002,A14,11140166,3.0,3.0
1153010200101440010,A03,11530102,3.0,3.0
1159010200101950025,A01,11590102,3.0,3.0
1150010500107840004,A03,11500105,4.0,4.0
1121510700100030022,A03,11215107,4.0,4.0
1114015800100590012,A03,11140158,3.0,3.0
1156010100106180063,A01,11560101,2.0,2.0
1141011700101320038,A03,11410117,2.0,2.0
1123011000100820001,A01,11230110,3.0,3.0
1114016200103730034,A03,11140162,2.0,2.0
1120010200109540006,A01,11200102,3.0,3.0
1111017500103130007,A03,11110175,2.0,2.0
1168010800101920023,A01,11680108,2.0,2.0
1144012500102930010,A03,11440125,3.0,3.0
1144012200103710026,A13,11440122,3.0,3.0
1141011700101880055,A13,11410117,1.0,1.0
1130510200103100004,A05,11305102,5.0,5.0
1168010700106630007,A14,11680107,3.0,3.0
1162010100108570005,A01,11620101,2.0,2.0
1120011400106680079,A01,11200114,1.0,1.0
